,summary,Herbst,Winter,Sommer,Frühling,word
verweis energiekrise,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,verweis energiekrise
Schürfen,2.583695475970761,-0.24714064057731297,0.242097110089384,-0.2223241460761716,-0.24162779094828968,Schürfen
energiekrise schürf,2.583695475970761,-0.24714064057731297,0.242097110089384,-0.2223241460761716,-0.24162779094828968,energiekrise schürf
Kryptogeld,2.4422620660704992,-0.19084459755204528,0.19454438260891213,-0.1660281030509039,-0.185331747923022,Kryptogeld
schürf kryptogeld,2.4422620660704992,-0.19084459755204528,0.19454438260891213,-0.1660281030509039,-0.185331747923022,schürf kryptogeld
verboten,3.3815304839703755,0.454701682324813,0.06347891459730813,-0.49143182987483636,-0.5107354747469544,verboten
kryptogeld verbiet,2.37348385898207,-0.16227876993128965,0.16842544643458635,-0.13746227543014825,-0.15676592030226644,kryptogeld verbiet
Laut,5.887542995388486,0.09414618336882268,0.22602692888736184,-0.7729940403967238,-0.2111910739873094,Laut
Wirtschafts-,4.75971909106528,-0.44056924364774686,0.4947549049880383,-0.8332920689769944,-0.8525957138491124,Wirtschafts-
laut wirtschafts-,2.3117033944861425,-0.1359045644565147,0.14299165368212777,-0.11108806995537315,-0.13039171482749132,laut wirtschafts-
Energieministerin,2.438888274164261,-0.18946222159214313,0.1933129082424991,-0.16464572709100184,-0.18394937196311983,Energieministerin
wirtschafts- energieministerin,2.264514708670456,-0.11528039077943934,0.1221534313907645,-0.09046389627829797,-0.10976754115041609,wirtschafts- energieministerin
